,stork_migration_id,timestamp,date,location-long,location-lat
716208,4559_pl_afr_5,2015-07-03 15:55:09.000,2015-07-03 15:55:09.000,22.482096,53.2301299
716209,4559_pl_afr_5,2015-07-03 16:00:09.000,2015-07-03 16:00:09.000,22.4821988,53.2300362
716210,4559_pl_afr_5,2015-07-03 16:05:08.000,2015-07-03 16:05:08.000,22.4821984,53.2300291
716211,4559_pl_afr_5,2015-07-03 16:10:09.000,2015-07-03 16:10:09.000,22.4820827,53.2299876
716212,4559_pl_afr_5,2015-07-03 16:15:20.000,2015-07-03 16:15:20.000,22.4821642,53.2299547
716213,4559_pl_afr_5,2015-07-03 16:20:06.000,2015-07-03 16:20:06.000,22.4818009,53.2298973
716214,4559_pl_afr_5,2015-07-03 16:25:06.000,2015-07-03 16:25:06.000,22.4821027,53.2298968
716215,4559_pl_afr_5,2015-07-03 16:30:06.000,2015-07-03 16:30:06.000,22.4822083,53.2299533
716216,4559_pl_afr_5,2015-07-03 16:35:08.000,2015-07-03 16:35:08.000,22.4817639,53.2298048
716217,4559_pl_afr_5,2015-07-03 16:40:07.000,2015-07-03 16:40:07.000,22.48224,53.229986
716218,4559_pl_afr_5,2015-07-03 16:45:08.000,2015-07-03 16:45:08.000,22.4822666,53.2299624
716219,4559_pl_afr_5,2015-07-03 16:50:07.000,2015-07-03 16:50:07.000,22.4822405,53.2299485
716220,4559_pl_afr_5,2015-07-03 16:55:08.000,2015-07-03 16:55:08.000,22.4822212,53.2299554
716221,4559_pl_afr_5,2015-07-03 17:00:07.000,2015-07-03 17:00:07.000,22.4822563,53.2299563
716222,4559_pl_afr_5,2015-07-03 17:05:07.000,2015-07-03 17:05:07.000,22.4822721,53.2299497
716223,4559_pl_afr_5,2015-07-03 17:10:06.000,2015-07-03 17:10:06.000,22.4822933,53.2299662
716224,4559_pl_afr_5,2015-07-03 17:15:07.000,2015-07-03 17:15:07.000,22.4822555,53.229957
716225,4559_pl_afr_5,2015-07-03 17:20:06.000,2015-07-03 17:20:06.000,22.482188,53.2299355
716226,4559_pl_afr_5,2015-07-03 17:25:06.000,2015-07-03 17:25:06.000,22.4822613,53.2299231
716227,4559_pl_afr_5,2015-07-03 17:30:06.000,2015-07-03 17:30:06.000,22.4822736,53.2299794
716228,4559_pl_afr_5,2015-07-03 17:35:07.000,2015-07-03 17:35:07.000,22.4823154,53.2299605
716229,4559_pl_afr_5,2015-07-03 17:40:07.000,2015-07-03 17:40:07.000,22.4822251,53.2299587
716230,4559_pl_afr_5,2015-07-03 17:45:07.000,2015-07-03 17:45:07.000,22.4822208,53.2299576
716231,4559_pl_afr_5,2015-07-03 17:50:08.000,2015-07-03 17:50:08.000,22.4821047,53.2299099
716232,4559_pl_afr_5,2015-07-03 17:55:06.000,2015-07-03 17:55:06.000,22.4822579,53.229951
716233,4559_pl_afr_5,2015-07-03 18:00:09.000,2015-07-03 18:00:09.000,22.4822994,53.2299625
716234,4559_pl_afr_5,2015-07-03 18:00:17.000,2015-07-03 18:00:17.000,22.4822527,53.2299647
716235,4559_pl_afr_5,2015-07-03 18:05:09.000,2015-07-03 18:05:09.000,22.4822685,53.2300009
716236,4559_pl_afr_5,2015-07-03 18:10:09.000,2015-07-03 18:10:09.000,22.4822289,53.2299381
716237,4559_pl_afr_5,2015-07-03 18:15:09.000,2015-07-03 18:15:09.000,22.4822813,53.2298839
716238,4559_pl_afr_5,2015-07-03 18:25:07.000,2015-07-03 18:25:07.000,22.4822623,53.2299573
716239,4559_pl_afr_5,2015-07-03 18:30:10.000,2015-07-03 18:30:10.000,22.4822749,53.2299784
716240,4559_pl_afr_5,2015-07-03 18:35:10.000,2015-07-03 18:35:10.000,22.4822403,53.2299421
716241,4559_pl_afr_5,2015-07-03 18:40:09.000,2015-07-03 18:40:09.000,22.4822608,53.2299876
716242,4559_pl_afr_5,2015-07-03 18:45:10.000,2015-07-03 18:45:10.000,22.4823049,53.2299918
716243,4559_pl_afr_5,2015-07-03 18:50:23.000,2015-07-03 18:50:23.000,22.4822949,53.2299427
716244,4559_pl_afr_5,2015-07-03 18:55:07.000,2015-07-03 18:55:07.000,22.4822963,53.229946
716245,4559_pl_afr_5,2015-07-03 19:00:07.000,2015-07-03 19:00:07.000,22.4822618,53.2300142
716246,4559_pl_afr_5,2015-07-03 19:05:08.000,2015-07-03 19:05:08.000,22.4822489,53.2299701
716247,4559_pl_afr_5,2015-07-03 19:10:06.000,2015-07-03 19:10:06.000,22.4822301,53.2300249
716248,4559_pl_afr_5,2015-07-03 19:15:06.000,2015-07-03 19:15:06.000,22.4822433,53.2299753
716249,4559_pl_afr_5,2015-07-03 19:20:07.000,2015-07-03 19:20:07.000,22.4824433,53.2298335
716250,4559_pl_afr_5,2015-07-03 19:25:06.000,2015-07-03 19:25:06.000,22.4822645,53.2299175
716251,4559_pl_afr_5,2015-07-03 19:30:06.000,2015-07-03 19:30:06.000,22.4822893,53.2299202
716252,4559_pl_afr_5,2015-07-03 19:35:06.000,2015-07-03 19:35:06.000,22.4823076,53.2299479
716253,4559_pl_afr_5,2015-07-03 19:40:06.000,2015-07-03 19:40:06.000,22.4822733,53.2299537
716254,4559_pl_afr_5,2015-07-03 19:45:06.000,2015-07-03 19:45:06.000,22.4823029,53.2299372
716255,4559_pl_afr_5,2015-07-03 19:50:06.000,2015-07-03 19:50:06.000,22.4822571,53.2299785
716256,4559_pl_afr_5,2015-07-03 19:55:07.000,2015-07-03 19:55:07.000,22.4822828,53.2299413
716257,4559_pl_afr_5,2015-07-03 20:00:07.000,2015-07-03 20:00:07.000,22.4823317,53.2299184
716258,4559_pl_afr_5,2015-07-04 02:00:23.000,2015-07-04 02:00:23.000,22.4822493,53.229951
716259,4559_pl_afr_5,2015-07-04 02:05:06.000,2015-07-04 02:05:06.000,22.4822647,53.2299626
716260,4559_pl_afr_5,2015-07-04 02:10:06.000,2015-07-04 02:10:06.000,22.4822637,53.2299561
716261,4559_pl_afr_5,2015-07-04 02:15:06.000,2015-07-04 02:15:06.000,22.4822309,53.2299524
716262,4559_pl_afr_5,2015-07-04 02:20:06.000,2015-07-04 02:20:06.000,22.4822258,53.2299471
716263,4559_pl_afr_5,2015-07-04 02:25:06.000,2015-07-04 02:25:06.000,22.4822799,53.2299388
716264,4559_pl_afr_5,2015-07-04 02:30:06.000,2015-07-04 02:30:06.000,22.4822512,53.229983
716265,4559_pl_afr_5,2015-07-04 02:35:06.000,2015-07-04 02:35:06.000,22.4822997,53.2299288
716266,4559_pl_afr_5,2015-07-04 02:40:06.000,2015-07-04 02:40:06.000,22.4823363,53.2299706
716267,4559_pl_afr_5,2015-07-04 02:45:06.000,2015-07-04 02:45:06.000,22.4822354,53.2299304
716268,4559_pl_afr_5,2015-07-04 02:50:06.000,2015-07-04 02:50:06.000,22.4822204,53.229927
716269,4559_pl_afr_5,2015-07-04 02:55:06.000,2015-07-04 02:55:06.000,22.482233,53.2299683
716270,4559_pl_afr_5,2015-07-04 03:00:06.000,2015-07-04 03:00:06.000,22.482276,53.2299734
716271,4559_pl_afr_5,2015-07-04 03:05:06.000,2015-07-04 03:05:06.000,22.4822228,53.229938
716272,4559_pl_afr_5,2015-07-04 03:10:06.000,2015-07-04 03:10:06.000,22.4822376,53.2299404
716273,4559_pl_afr_5,2015-07-04 03:15:06.000,2015-07-04 03:15:06.000,22.4822681,53.2300115
716274,4559_pl_afr_5,2015-07-04 03:20:06.000,2015-07-04 03:20:06.000,22.4822381,53.2299627
716275,4559_pl_afr_5,2015-07-04 03:25:06.000,2015-07-04 03:25:06.000,22.4822311,53.2299548
716276,4559_pl_afr_5,2015-07-04 03:30:06.000,2015-07-04 03:30:06.000,22.4822331,53.2299564
716277,4559_pl_afr_5,2015-07-04 03:35:06.000,2015-07-04 03:35:06.000,22.4822548,53.2299793
716278,4559_pl_afr_5,2015-07-04 03:40:06.000,2015-07-04 03:40:06.000,22.4822141,53.229958
716279,4559_pl_afr_5,2015-07-04 03:45:07.000,2015-07-04 03:45:07.000,22.4822457,53.2299466
716280,4559_pl_afr_5,2015-07-04 03:50:06.000,2015-07-04 03:50:06.000,22.4822111,53.2299336
716281,4559_pl_afr_5,2015-07-04 03:55:08.000,2015-07-04 03:55:08.000,22.4822304,53.2299577
